! Swift/XRT hardness ratio of trigger: 11558, name: V3890 Sgr
 ! T0 for this burst is Swift MET=499368603.2, = 2016 Oct 28 at 17:29:46.125 UT
 ! The hard band is 1.5-10 keV
 ! The soft band is 0.3-1.5 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
! There are 3 datasets: Hard, Soft, and the ratio
! Columns are as labelled
! WT -- hard data
!MJD		Err (pos)	Err(neg)	Rate		Error
58723.4381564375	0.0370834259259259	-0.0370834259259259	1.061079	0.024902	::ObsID=00045788003
58724.0775733241	0.00326837962962963	-0.00326837962962963	0.684543	0.040201	::ObsID=00045788005
58724.9492596551	0.00376030092592593	-0.00376030092592593	0.917923	0.043542	::ObsID=00045788006
58725.2170039375	0.00164797453703704	-0.00164797453703704	0.995828	0.066901	::ObsID=00045788007
58725.9966125255	0.00305761574074074	-0.00305761574074074	0.149864	0.030891	::ObsID=00045788008
58726.0050808819	0.00156815972222222	-0.00156815972222222	1.301683	0.075022	::ObsID=00045788011
58726.8029262986	0.00242930555555556	-0.00242930555555556	1.702023	0.078195	::ObsID=00045788013
58727.1354898981	0.00182855324074074	-0.00182855324074074	1.776351	0.091392	::ObsID=00045788014
58728.0714158356	0.00537003472222222	-0.00537003472222222	1.851532	0.071052	::ObsID=00045788015
58728.7355823171	0.00516679398148148	-0.00516679398148148	1.565216	0.047375	::ObsID=00045788017
58729.4587544583	0.00551241898148148	-0.00551241898148148	1.523575	0.044980	::ObsID=00045788019
58729.5932976296	0.00300706018518519	-0.00300706018518519	1.184493	0.191496	::ObsID=00045788022
58730.3293036366	0.000116458333333333	-0.000116458333333333	0.850771	0.324385	::ObsID=00045788024
58731.2594564144	0.00561215277777778	-0.00561215277777778	1.133805	0.037119	::ObsID=00045788027
58731.9883637986	0.00584365740740741	-0.00584365740740741	0.998445	0.034259	::ObsID=00045788028
58736.258818544	0.231969722222222	-0.231969722222222	0.675739	0.024695	::ObsID=00045788029
58737.9676624097	0.0050334837962963	-0.0050334837962963	0.615022	0.029858	::ObsID=00045788033
58738.099556912	0.00509034722222222	-0.00509034722222222	0.512539	0.028392	::ObsID=00045788034
58738.2991311481	0.00552538194444444	-0.00552538194444444	0.574142	0.029231	::ObsID=00045788035
58738.5513950949	0.00535171296296296	-0.00535171296296296	0.466214	0.048124	::ObsID=00045788036
58738.8971161597	0.00543851851851852	-0.00543851851851852	0.554628	0.026826	::ObsID=00045788037
58739.0160340301	0.00529381944444444	-0.00529381944444444	0.559747	0.047287	::ObsID=00045788038
58739.2816291806	0.00286994212962963	-0.00286994212962963	0.579755	0.047881	::ObsID=00011558002
58739.6119815995	0.00378835648148148	-0.00378835648148148	0.513709	0.040561	::ObsID=00045788040
58739.8117201181	0.00401975694444444	-0.00401975694444444	0.474062	0.031823	::ObsID=00045788041
58740.4912041574	0.00509125	-0.00509125	0.467389	0.027583	::ObsID=00045788043
58740.6180290532	0.00537978009259259	-0.00537978009259259	0.472656	0.026272	::ObsID=00045788044
58740.8898175023	0.00509135416666667	-0.00509135416666667	0.397866	0.027283	::ObsID=00045788045
58741.6050350718	0.00376033564814815	-0.00376033564814815	0.458873	0.031572	::ObsID=00045788048
58741.8103093889	0.0047730787037037	-0.0047730787037037	0.393008	0.027576	::ObsID=00045788049
58742.0114736481	0.00569871527777778	-0.00569871527777778	0.434948	0.034944	::ObsID=00045788050
58742.477427294	0.0056690625	-0.0056690625	0.401594	0.023866	::ObsID=00045788051
58742.8821504306	0.00511952546296296	-0.00511952546296296	0.342940	0.060251	::ObsID=00045788053
58744.5254273287	0.000406793981481481	-0.000406793981481481	0.252935	0.078409	::ObsID=00011558021
58745.7980536134	0.000116446759259259	-0.000116446759259259	0.139995	0.144525	::ObsID=00011558025
58746.2544228148	0.00506241898148148	-0.00506241898148148	0.325594	0.023099	::ObsID=00045788054
58746.6041913681	0.00251608796296296	-0.00251608796296296	0.351718	0.033656	::ObsID=00045788055
58746.8320140417	0.0406864699074074	-0.0406864699074074	0.277760	0.020201	::ObsID=00045788056
58747.125082537	0.00523603009259259	-0.00523603009259259	0.265189	0.023741	::ObsID=00045788057
58747.514435419	0.000142407407407407	-0.000142407407407407	0.267481	0.120773	::ObsID=00045788058
58747.9825948634	0.00540841435185185	-0.00540841435185185	0.262265	0.021917	::ObsID=00045788059
58748.1783973519	0.00402076388888889	-0.00402076388888889	0.285840	0.025136	::ObsID=00045788060
58748.6442561829	0.00483090277777778	-0.00483090277777778	0.306243	0.023262	::ObsID=00045788061
58748.710949412	0.00480201388888889	-0.00480201388888889	0.311661	0.022664	::ObsID=00045788062
58749.0462654306	0.00558324074074074	-0.00558324074074074	0.181866	0.021480	::ObsID=00045788063
58749.376413544	0.00529390046296296	-0.00529390046296296	0.287397	0.021646	::ObsID=00045788064
58749.9736507083	0.00532258101851852	-0.00532258101851852	0.274913	0.021096	::ObsID=00045788065
58750.3073059977	0.00566997685185185	-0.00566997685185185	0.296386	0.020727	::ObsID=00045788066
58750.4407075602	0.00558324074074074	-0.00558324074074074	0.171199	0.019958	::ObsID=00045788067
58750.7055707662	0.005321875	-0.005321875	0.222069	0.018916	::ObsID=00045788068
58751.3070767616	0.00592684027777778	-0.00592684027777778	0.274919	0.021768	::ObsID=00045788069
58751.7002200949	0.00511929398148148	-0.00511929398148148	0.262794	0.021136	::ObsID=00045788071
58752.3113312639	0.00511924768518519	-0.00511924768518519	0.247281	0.036791	::ObsID=00045788072
58752.7095838102	0.00549633101851852	-0.00549633101851852	0.243368	0.019991	::ObsID=00045788074
