JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458752.51552,14.603,0.217,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.08,Z,20.040,20.379,,V3890 SGR,VVS,STD,,,,
2458752.51561,14.390,0.182,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.08,Z,20.052,20.411,,V3890 SGR,VVS,STD,,,,
2458752.51573,14.094,0.101,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.08,Z,19.032,19.458,,V3890 SGR,VVS,STD,,,,
2458752.51584,13.708,0.075,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.08,Z,19.042,19.432,,V3890 SGR,VVS,STD,,,,
2458752.51595,11.753,0.094,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.08,Z,20.257,20.666,,V3890 SGR,VVS,STD,,,,
2458752.51604,12.106,0.122,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.08,Z,20.216,20.643,,V3890 SGR,VVS,STD,,,,
2458752.51619,12.350,0.047,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.08,Z,19.327,19.686,,V3890 SGR,VVS,STD,,,,
2458752.51626,12.398,0.048,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.08,Z,19.306,19.720,,V3890 SGR,VVS,STD,,,,
2458752.55370,14.954,0.336,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.21,Z,20.067,20.435,,V3890 SGR,VVS,STD,,,,
2458752.55379,14.213,0.177,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.21,Z,20.114,20.478,,V3890 SGR,VVS,STD,,,,
2458752.55393,13.916,0.092,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.21,Z,19.073,19.477,,V3890 SGR,VVS,STD,,,,
2458752.55402,13.937,0.096,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.21,Z,19.069,19.481,,V3890 SGR,VVS,STD,,,,
2458752.55415,11.616,0.083,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.22,Z,20.307,20.692,,V3890 SGR,VVS,STD,,,,
2458752.55422,11.947,0.109,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.22,Z,20.255,20.667,,V3890 SGR,VVS,STD,,,,
2458752.55437,12.416,0.047,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.22,Z,19.323,19.719,,V3890 SGR,VVS,STD,,,,
2458752.55445,12.387,0.048,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.22,Z,19.335,19.743,,V3890 SGR,VVS,STD,,,,
2458752.58125,<13.2,,,Vis.,CKB,,132,,X22716NM,,,,Z,,,,V3890 SGR,AAVSO,STD,,,,
2458752.60653,13.929,0.151,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.61,Z,20.268,20.567,,V3890 SGR,VVS,STD,,,,
2458752.60664,14.354,0.202,,B,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.781  K = 12.120,0,1.61,Z,20.253,20.572,,V3890 SGR,VVS,STD,,,,
